17,HARBOR POINT SUBIC,"14.824514728627847, 120.2797344006265"
26,ROBINSONS PLACE MANILA,"14.586521367944725, 120.98238555730109"
29,SM CITY SAN LAZARO,"14.618506457216519, 120.98589106786041"
45,FESTIVAL SUPERMALL ALABANG,"14.417769119427692, 121.0401689153196"
